Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
GUAYAS;-2,20345513;-79,91934915;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/3/2023;ENCONTRADO;29/3/2023
CHIMBORAZO;-1,56551913;-78,72989422;26;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/1/2023;ENCONTRADO;25/2/2023
NAPO;-0,91759871;-77,8093434;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/1/2023;ENCONTRADO;27/1/2023
PICHINCHA;-0,2165201;-78,4006905;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/1/2023;ENCONTRADO;27/1/2023
PICHINCHA;-0,3368055;-78,5398204;68;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/2/2023;ENCONTRADO;11/2/2023
PICHINCHA;-0,29911;-78,5728277;30;HOMBRE;FALLECIDO;ACCIDENTAL;24/1/2023;FALLECIDO;9/2/2023
SUCUMBIOS;0,07840631;-76,89266682;17;HOMBRE;FALLECIDO;NO DETERMINADA;27/1/2023;FALLECIDO;29/1/2023
LOS RIOS;-1,44686578;-79,46651459;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;30/1/2023
CHIMBORAZO;-1,6582829;-78,6403498;12;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;31/1/2023;ENCONTRADO;1/2/2023
TUNGURAHUA;-1,3807054;-78,6072432;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/1/2023;ENCONTRADO;17/2/2023
ESMERALDAS;0,90944558;-79,68369576;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/1/2023;ENCONTRADO;29/1/2023
MANABI;0,0246404;-79,93780015;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/1/2023;ENCONTRADO;1/2/2023
PICHINCHA;0,0425351;-78,1458804;18;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;7/1/2023;ENCONTRADO;1/2/2023
TUNGURAHUA;-1,3933412;-78,5291706;43;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/1/2023;ENCONTRADO;1/2/2023
ORELLANA;-0,3013626;-76,8571063;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/1/2023;ENCONTRADO;15/2/2023
GUAYAS;-2,5769791;-80,4846186;14;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;27/1/2023;ENCONTRADO;30/1/2023
LOS RIOS;-1,44546059;-79,46475983;38;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/1/2023;ENCONTRADO;1/2/2023
ZONA NO DELIMITADA;-0,60305737;-79,60357419;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/1/2023;ENCONTRADO;2/2/2023
ESMERALDAS;0,93058445;-79,66042577;27;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;21/1/2023;ENCONTRADO;24/1/2023
PASTAZA;-1,48597399;-78,00619786;20;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;28/1/2023;ENCONTRADO;31/1/2023
AZUAY;-2,904747;-78,9947099;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;26/2/2023;ENCONTRADO;8/3/2023
GUAYAS;-2,2273031;-79,8899844;29;HOMBRE;FALLECIDO;NO DETERMINADA;5/3/2023;FALLECIDO;9/3/2023
BOLIVAR;-1,42675607;-79,03159663;21;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/3/2023;ENCONTRADO;13/4/2023
TUNGURAHUA;-1,2515318;-78,6251013;44;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;16/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,24771816;-78,48822863;20;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;17/1/2023;ENCONTRADO;29/1/2023
SANTA ELENA;-2,233438;-80,9016392;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/1/2023;ENCONTRADO;1/2/2023
LOJA;-3,9883504;-79,2080844;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/1/2023;ENCONTRADO;1/2/2023
MANABI;0,08098987;-80,04769763;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/1/2023;ENCONTRADO;2/2/2023
PICHINCHA;-0,26882616;-78,53471363;61;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;23/1/2023;ENCONTRADO;14/2/2023
PICHINCHA;-0,3808752;-78,5064647;23;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/1/2023;ENCONTRADO;27/1/2023
PICHINCHA;-0,0839886;-78,5087676;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/1/2023;ENCONTRADO;1/2/2023
MANABI;-0,7140022;-80,109357;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/2/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,210691;-78,3955986;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/3/2023;ENCONTRADO;23/3/2023
PICHINCHA;-0,0021474;-78,4558324;35;HOMBRE;FISCALÍA;FISCALÍA;28/3/2023;ENCONTRADO;28/3/2023
PICHINCHA;-0,0021474;-78,4558324;34;HOMBRE;FISCALÍA;FISCALÍA;28/3/2023;ENCONTRADO;28/3/2023
CHIMBORAZO;-1,6872132;-78,6334642;85;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;3/3/2023;ENCONTRADO;6/3/2023
EL ORO;-3,27300254;-79,93154526;35;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;2/2/2023
PICHINCHA;-0,3301626;-78,4510729;13;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;2/2/2023;ENCONTRADO;2/2/2023
ZONA NO DELIMITADA;-0,60305737;-79,60357419;1;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/1/2023;ENCONTRADO;2/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2360951;-79,1752304;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/1/2023;ENCONTRADO;8/2/2023
AZUAY;-2,90011585;-79,02628369;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;2/2/2023
EL ORO;-3,2581112;-79,9553924;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;1/2/2023;ENCONTRADO;3/2/2023
COTOPAXI;-0,91055527;-78,70164879;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/1/2023;ENCONTRADO;1/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,3896693;-79,2428546;11;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/1/2023;ENCONTRADO;31/1/2023
TUNGURAHUA;-1,2875698;-78,662567;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/1/2023;ENCONTRADO;27/1/2023
PICHINCHA;0,0425351;-78,1458804;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/3/2023;ENCONTRADO;28/3/2023
SUCUMBIOS;0,07772514;-76,89434902;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/3/2023;ENCONTRADO;11/3/2023
GUAYAS;-2,207337;-79,9063189;20;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/1/2023;ENCONTRADO;25/1/2023
PICHINCHA;-0,21258525;-78,44122528;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/2/2023;ENCONTRADO;3/2/2023
GUAYAS;-2,1328143;-79,9703317;30;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;7/3/2023;ENCONTRADO;19/3/2023
MANABI;-0,7842208;-80,2343302;49;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/2/2023;ENCONTRADO;26/3/2023
EL ORO;-3,28035624;-79,9639939;17;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/3/2023;ENCONTRADO;28/3/2023
PICHINCHA;-0,298919;-78,5282831;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/2/2023;ENCONTRADO;15/3/2023
PICHINCHA;-0,0940492;-78,4510101;50;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;16/2/2023;ENCONTRADO;24/3/2023
ESMERALDAS;0,9093046;-79,68595833;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/2/2023;ENCONTRADO;2/2/2023
AZUAY;-2,92841385;-78,78157392;9;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;5/1/2023;ENCONTRADO;3/2/2023
CAÑAR;-2,73786305;-78,84501452;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;30/1/2023;ENCONTRADO;3/2/2023
PICHINCHA;-0,3074098;-78,5263305;26;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/2/2023;ENCONTRADO;3/2/2023
PICHINCHA;-0,3301626;-78,4510729;20;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/1/2023;ENCONTRADO;2/2/2023
CHIMBORAZO;-1,6824409;-78,6370227;28;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/1/2023;ENCONTRADO;2/2/2023
LOS RIOS;-0,99818432;-79,4723036;52;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/1/2023;ENCONTRADO;3/2/2023
PICHINCHA;-0,0859301;-78,47149802;17;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;1/2/2023;ENCONTRADO;2/2/2023
PICHINCHA;-0,37019753;-78,50347855;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;3/2/2023
LOS RIOS;-1,1805165;-79,42268385;25;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;16/1/2023;ENCONTRADO;2/2/2023
LOS RIOS;-1,04242191;-79,45617584;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/1/2023;ENCONTRADO;3/2/2023
MORONA SANTIAGO;-2,3074378;-78,1202307;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/1/2023;ENCONTRADO;3/2/2023
MORONA SANTIAGO;-2,4566285;-78,1678439;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/1/2023;ENCONTRADO;3/2/2023
CAÑAR;-2,52724371;-78,91291016;32;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/1/2023;ENCONTRADO;14/2/2023
PICHINCHA;-0,0805353;-78,4105247;19;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/2/2023;ENCONTRADO;3/2/2023
AZUAY;-2,91087405;-79,04545966;43;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;18/1/2023;ENCONTRADO;4/2/2023
AZUAY;-2,78942478;-78,75806808;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/1/2023;ENCONTRADO;4/2/2023
LOJA;-4,01144738;-79,19877334;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/2/2023;ENCONTRADO;4/2/2023
AZUAY;-2,88335852;-79,05635118;16;MUJER;PROBLEMAS SOCIALES;DROGADICCION;26/1/2023;ENCONTRADO;4/2/2023
PICHINCHA;-0,28798899;-78,5661074;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/2/2023;ENCONTRADO;12/2/2023
GUAYAS;-2,2028553;-79,9116221;23;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/2/2023;ENCONTRADO;5/2/2023
IMBABURA;0,3552973;-78,1250848;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/2/2023;ENCONTRADO;28/3/2023
GUAYAS;-2,1821129;-79,8755336;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;3/2/2023
GUAYAS;-2,1035617;-79,9557873;24;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/1/2023;ENCONTRADO;5/2/2023
MANABI;-1,06522972;-80,44398076;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/1/2023;ENCONTRADO;31/1/2023
GUAYAS;-2,1982662;-79,8879417;23;MUJER;PROBLEMAS SOCIALES;DROGADICCION;29/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,13583724;-79,60648697;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;7/2/2023;ENCONTRADO;8/2/2023
GUAYAS;-2,2363913;-79,9158773;65;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;30/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,11833361;-79,94768143;35;HOMBRE;FALLECIDO;NO DETERMINADA;30/1/2023;FALLECIDO;5/2/2023
GUAYAS;-2,05606188;-79,98634815;16;MUJER;SIN_DATO;SIN_DATO;28/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;0,0395746;-78,1456634;10;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;7/3/2023;ENCONTRADO;28/3/2023
AZUAY;-2,92255064;-79,01499491;36;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/1/2023;ENCONTRADO;5/2/2023
AZUAY;-2,89090368;-78,96562602;22;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;24/1/2023;ENCONTRADO;5/2/2023
ESMERALDAS;0,91854084;-79,68465185;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/1/2023;ENCONTRADO;4/2/2023
TUNGURAHUA;-1,34819145;-78,66834198;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;30/1/2023;ENCONTRADO;5/2/2023
LOS RIOS;-1,7879521;-79,2873953;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,3368021;-78,5369806;12;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,09592475;-79,94390065;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,1275243;-79,9981633;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,2512404;-78,5404866;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/2/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,1556356;-79,912301;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/1/2023;ENCONTRADO;5/2/2023
IMBABURA;0,2343005;-78,2610672;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,2045937;-80,0664389;39;MUJER;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;28/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,21524978;-78,49414933;26;HOMBRE;PROBLEMAS PSICOLÓGICOS;BIPOLARIDAD;29/1/2023;ENCONTRADO;4/2/2023
ESMERALDAS;1,07276728;-79,41285968;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/1/2023;ENCONTRADO;5/2/2023
AZUAY;-2,86027365;-78,98728373;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/2/2023;ENCONTRADO;27/2/2023
GUAYAS;-2,168974;-79,8397207;27;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;15/1/2023;ENCONTRADO;3/2/2023
PICHINCHA;-0,188956;-78,5078677;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;4/2/2023
GUAYAS;-2,20504983;-79,91937309;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;3/2/2023
TUNGURAHUA;-1,38327527;-78,42489482;28;HOMBRE;FALLECIDO;ACCIDENTAL;26/1/2023;FALLECIDO;3/2/2023
PICHINCHA;-0,5155496;-78,5672329;33;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/1/2023;ENCONTRADO;5/2/2023
AZUAY;-2,8916797;-79,016784;27;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/2/2023;ENCONTRADO;10/2/2023
PICHINCHA;-0,2381328;-78,5297036;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/2/2023;ENCONTRADO;7/3/2023
TUNGURAHUA;-1,24056522;-78,61671166;43;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;4/2/2023
AZUAY;-2,88476785;-78,96107427;15;MUJER;SIN_DATO;SIN_DATO;12/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2644501;-78,5318737;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/2/2023;ENCONTRADO;2/2/2023
LOS RIOS;-1,55245578;-79,75224485;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;3/2/2023
MORONA SANTIAGO;-2,29545228;-78,11799138;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;9/2/2023;ENCONTRADO;10/2/2023
PICHINCHA;-0,3320719;-78,434628;37;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;24/1/2023;ENCONTRADO;6/2/2023
MORONA SANTIAGO;-2,3127291;-78,1022309;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/1/2023;ENCONTRADO;5/2/2023
ESMERALDAS;0,9283398;-79,67501603;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/1/2023;ENCONTRADO;4/2/2023
MORONA SANTIAGO;-2,3127291;-78,1022309;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/1/2023;ENCONTRADO;5/2/2023
IMBABURA;0,22546165;-78,26157639;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/2/2023;ENCONTRADO;10/2/2023
TUNGURAHUA;-1,35680599;-78,5261607;23;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/1/2023;ENCONTRADO;6/2/2023
PICHINCHA;-0,089901;-78,4433006;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/2/2023;ENCONTRADO;8/3/2023
EL ORO;-3,4822371;-80,2093527;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/2/2023;ENCONTRADO;6/2/2023
BOLIVAR;-1,43232;-79,27918;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;5/2/2023;ENCONTRADO;6/2/2023
GUAYAS;-2,2325751;-79,91729786;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,16850022;-79,83384266;31;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,12959191;-79,94007256;28;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/1/2023;ENCONTRADO;5/2/2023
GUAYAS;-2,1693477;-79,8985397;45;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;18/1/2023;ENCONTRADO;5/2/2023
CHIMBORAZO;-1,68939198;-78,63477297;17;MUJER;SIN_DATO;SIN_DATO;5/3/2023;DESAPARECIDO;SIN_DATO
MANABI;0,082818;-80,047159;22;HOMBRE;SIN_DATO;SIN_DATO;16/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,3216865;-78,4742106;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;6/2/2023
PICHINCHA;-0,2090944;-78,5003238;43;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/1/2023;ENCONTRADO;2/2/2023
PICHINCHA;0,0045685;-78,4467745;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/2/2023;ENCONTRADO;6/2/2023
ESMERALDAS;0,8099447;-79,8646838;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/1/2023;ENCONTRADO;7/2/2023
GUAYAS;-2,12766905;-79,94223664;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,3155929;-78,5659376;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/2/2023;ENCONTRADO;6/2/2023
EL ORO;-3,24502414;-79,93843317;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/2/2023;ENCONTRADO;7/2/2023
TUNGURAHUA;-1,26762626;-78,60987651;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;7/3/2023
GUAYAS;-2,1286511;-79,95165952;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/2/2023;ENCONTRADO;22/2/2023
AZUAY;-2,89898999;-79,03232555;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;7/3/2023;ENCONTRADO;8/3/2023
GUAYAS;-2,0721549;-79,9345141;16;MUJER;SIN_DATO;SIN_DATO;6/3/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,0395683;-79,4569217;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/1/2023;ENCONTRADO;3/2/2023
CARCHI;0,5105725;-77,8667416;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/1/2023;ENCONTRADO;7/2/2023
TUNGURAHUA;-1,249838;-78,6204326;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;7/3/2023
LOS RIOS;-1,0065143;-79,45935012;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;1/2/2023;ENCONTRADO;7/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2127289;-79,1369546;31;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;29/1/2023;ENCONTRADO;1/2/2023
PICHINCHA;-0,25951489;-78,52923282;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;6/2/2023;ENCONTRADO;7/2/2023
GUAYAS;-2,110065;-79,9565322;25;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;1/3/2023;ENCONTRADO;8/3/2023
PICHINCHA;-0,2924362;-78,5220701;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,1054146;-78,5291465;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/2/2023;ENCONTRADO;7/2/2023
AZUAY;-2,863187;-78,964005;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/2/2023;ENCONTRADO;8/2/2023
AZUAY;-2,863187;-78,964005;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/2/2023;ENCONTRADO;8/2/2023
MANABI;-0,30928199;-80,06726003;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/1/2023;ENCONTRADO;7/2/2023
LOJA;-3,97962797;-79,20891188;8;HOMBRE;SIN_DATO;SIN_DATO;7/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,29911;-78,5728277;14;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;4/1/2023;ENCONTRADO;8/2/2023
GUAYAS;-2,11571395;-79,58479874;16;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;5/2/2023;ENCONTRADO;7/2/2023
MANABI;-0,7140022;-80,109357;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;6/2/2023;ENCONTRADO;7/2/2023
GUAYAS;-2,21931119;-79,93085288;19;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/3/2023;ENCONTRADO;28/3/2023
ESMERALDAS;0,98850882;-79,65650347;15;MUJER;SIN_DATO;SIN_DATO;5/3/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,33789371;-79,78957661;21;HOMBRE;SIN_DATO;SIN_DATO;27/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,27242558;-78,53649616;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/2/2023;ENCONTRADO;9/2/2023
PICHINCHA;0,0425351;-78,1458804;24;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;9/1/2023;ENCONTRADO;7/2/2023
MORONA SANTIAGO;-2,26581116;-78,13124163;36;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;6/2/2023;ENCONTRADO;7/2/2023
GUAYAS;-2,176347;-79,4366324;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/3/2023;ENCONTRADO;17/3/2023
PICHINCHA;-0,27021284;-78,5418702;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/2/2023;ENCONTRADO;9/2/2023
CHIMBORAZO;-1,6754021;-78,6730071;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;7/2/2023;ENCONTRADO;8/2/2023
EL ORO;-3,32084983;-79,81255111;29;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;6/2/2023;ENCONTRADO;8/2/2023
GUAYAS;-2,1232454;-79,8919811;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/1/2023;ENCONTRADO;8/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2750355;-79,19379699;29;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/1/2023;ENCONTRADO;30/1/2023
PICHINCHA;-0,273463;-78,4953927;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/2/2023;ENCONTRADO;7/3/2023
